Served Communities/,supply 2022,Com_Code
Tubas,4152,ps/05/050610
Tammoun,355,ps/05/050755
Tayasir,78,ps/05/050550
Aqqaba,2057,ps/05/050535
Wadi Al Fara,2407,ps/05/050740
Fari'a Camp,836,ps/05/050700
